python full_graph.py --dataset-root /home/ksadowski/datasets/ --dataset ogbn-products --lr 0.021542537754776225 --hidden-feats 256 --num-layers 4 --aggregator-type mean --batch-norm --input-dropout 0.1 --dropout 0.3 --activation relu --test-validation
Epoch: 133 Train Loss: 0.25 Valid Loss: 0.31 Train Score: 0.9301 Valid Score: 0.9185 Train Epoch Time: 48.05 Valid Epoch Time: 14.72
Epoch: 134 Train Loss: 0.24 Valid Loss: 0.31 Train Score: 0.9305 Valid Score: 0.9183 Train Epoch Time: 48.05 Valid Epoch Time: 14.73
Epoch: 135 Train Loss: 0.24 Valid Loss: 0.30 Train Score: 0.9297 Valid Score: 0.9194 Train Epoch Time: 48.06 Valid Epoch Time: 14.75
Epoch: 136 Train Loss: 0.24 Valid Loss: 0.30 Train Score: 0.9306 Valid Score: 0.9200 Train Epoch Time: 48.04 Valid Epoch Time: 14.71
Epoch: 137 Train Loss: 0.24 Valid Loss: 0.31 Train Score: 0.9311 Valid Score: 0.9193 Train Epoch Time: 48.07 Valid Epoch Time: 14.76
Epoch: 138 Train Loss: 0.24 Valid Loss: 0.31 Train Score: 0.9300 Valid Score: 0.9190 Train Epoch Time: 48.10 Valid Epoch Time: 14.85
Epoch: 139 Train Loss: 0.24 Valid Loss: 0.30 Train Score: 0.9313 Valid Score: 0.9202 Train Epoch Time: 48.16 Valid Epoch Time: 14.67
Epoch: 140 Train Loss: 0.24 Valid Loss: 0.31 Train Score: 0.9316 Valid Score: 0.9194 Train Epoch Time: 48.08 Valid Epoch Time: 14.68
Epoch: 141 Train Loss: 0.24 Valid Loss: 0.30 Train Score: 0.9307 Valid Score: 0.9195 Train Epoch Time: 48.05 Valid Epoch Time: 14.67
Epoch: 142 Train Loss: 0.24 Valid Loss: 0.30 Train Score: 0.9320 Valid Score: 0.9197 Train Epoch Time: 48.01 Valid Epoch Time: 14.66
Epoch: 143 Train Loss: 0.24 Valid Loss: 0.30 Train Score: 0.9319 Valid Score: 0.9197 Train Epoch Time: 47.97 Valid Epoch Time: 14.77
Epoch: 144 Train Loss: 0.24 Valid Loss: 0.30 Train Score: 0.9319 Valid Score: 0.9205 Train Epoch Time: 48.05 Valid Epoch Time: 14.66
Epoch: 145 Train Loss: 0.24 Valid Loss: 0.30 Train Score: 0.9314 Valid Score: 0.9196 Train Epoch Time: 48.02 Valid Epoch Time: 14.65
Epoch: 146 Train Loss: 0.24 Valid Loss: 0.30 Train Score: 0.9325 Valid Score: 0.9200 Train Epoch Time: 47.98 Valid Epoch Time: 14.69
Epoch: 147 Train Loss: 0.23 Valid Loss: 0.31 Train Score: 0.9326 Valid Score: 0.9207 Train Epoch Time: 48.06 Valid Epoch Time: 14.68
Epoch: 148 Train Loss: 0.24 Valid Loss: 0.30 Train Score: 0.9325 Valid Score: 0.9207 Train Epoch Time: 48.06 Valid Epoch Time: 14.73
Epoch: 149 Train Loss: 0.23 Valid Loss: 0.30 Train Score: 0.9330 Valid Score: 0.9207 Train Epoch Time: 48.04 Valid Epoch Time: 14.68
Epoch: 150 Train Loss: 0.23 Valid Loss: 0.30 Train Score: 0.9324 Valid Score: 0.9199 Train Epoch Time: 48.05 Valid Epoch Time: 14.71
Epoch: 151 Train Loss: 0.23 Valid Loss: 0.30 Train Score: 0.9331 Valid Score: 0.9207 Train Epoch Time: 48.08 Valid Epoch Time: 14.65
Epoch: 152 Train Loss: 0.23 Valid Loss: 0.30 Train Score: 0.9330 Valid Score: 0.9201 Train Epoch Time: 48.02 Valid Epoch Time: 14.70
Epoch: 153 Train Loss: 0.23 Valid Loss: 0.30 Train Score: 0.9336 Valid Score: 0.9209 Train Epoch Time: 48.02 Valid Epoch Time: 14.70
Epoch: 154 Train Loss: 0.23 Valid Loss: 0.30 Train Score: 0.9348 Valid Score: 0.9198 Train Epoch Time: 48.24 Valid Epoch Time: 14.74
Epoch: 155 Train Loss: 0.23 Valid Loss: 0.30 Train Score: 0.9344 Valid Score: 0.9209 Train Epoch Time: 48.00 Valid Epoch Time: 14.71
Epoch: 156 Train Loss: 0.23 Valid Loss: 0.30 Train Score: 0.9345 Valid Score: 0.9212 Train Epoch Time: 47.98 Valid Epoch Time: 14.70
Epoch: 157 Train Loss: 0.23 Valid Loss: 0.30 Train Score: 0.9345 Valid Score: 0.9221 Train Epoch Time: 48.05 Valid Epoch Time: 14.75
Epoch: 158 Train Loss: 0.23 Valid Loss: 0.30 Train Score: 0.9348 Valid Score: 0.9209 Train Epoch Time: 48.09 Valid Epoch Time: 14.70
Epoch: 159 Train Loss: 0.23 Valid Loss: 0.30 Train Score: 0.9341 Valid Score: 0.9212 Train Epoch Time: 48.04 Valid Epoch Time: 14.70
Epoch: 160 Train Loss: 0.23 Valid Loss: 0.30 Train Score: 0.9351 Valid Score: 0.9219 Train Epoch Time: 48.06 Valid Epoch Time: 14.71
